jellycat,,Miscellaneous,0,0,unavailable,0,(no contributions. no data),,,,unavailable,n/a,,,0
ettitude ,,Household products,0,1,unavailable,0,no contributions/ no data,,,,unavailable,n/a,,,1
nestle,,Food Products,0,0,unavailable,0,(contributions: $345257 (mixed) - Lobbying $1435000 - most lobbied bill H.R.397: Rehabilitation for Multiemployer Pensions Act of 2019),mixed,1435000,H.R.397: Rehabilitation for Multiemployer Pensions Act of 2019,unavailable,Nestle S.A. (Switzerland): 24.2 medium risk,59 out of 596 (food products group),5572 out of 14979 companies total,0
hydroflask ,Helen of Troy Limited,Miscellaneous ,0,0,140:1,0,no contributions/no data,,,,unavailable,n/a,,,0
Dell,,Technology hardwear,0,0,14:1,0,Contributions: 4001642 (mixed) - Lobbying:$4530000 - Most lobbied bill: H.R.748: Relief for Workers Affected by Coronavirus Act,mixed,4530000,H.R.748: Relief for Workers Affected by Coronavirus Act,100,16.1 low risk,163 out of 600 (technology hardware group),1621 out of 14979 companies total,0
Thrive market ,Whole Foods,Food and Beverage Stores,1,0,unavailable,0,Lobbying: $180000 (2009),n/a,180000,unknown,unavailable,Amazon: 30 high risk,459 out of 467 (retailing),8919 out of 14979 companies total,1
Krave Beauty,,Pharmaceuticals ,0,1,unavailable,0,no contributions/ no data ,,,,unavailable,n/a,,,1
Patagonia ,Yvon Chouinard,Apparel,1,0,unavailable,0,Contributions: $680566 (mostly democratic) - Lobbying: $40000 - most lobbied bill S.337: Preserving the MotorCities Heritage Act,mostly democratic,40000,S.337: Preserving the MotorCities Heritage Act,100,n/a,,,1
Ben and Jerry's ,Unilever,Food Products,1,0,unavailable,0,Lobbying: $136854 - Contributions: $11460000 (mixed leaning democratic) - most lobbied bill S.2941: Recycling Enhancements to Collection and Yield through Consumer Learning and Education Act of 2019,mixed leaning democrat,136854,S.2941: Recycling Enhancements to Collection and Yield through Consumer Learning and Education Act of 2019,unavailable,Unilever: 21.6 medium,8 out of 104 (household products),4135 out of 14979 companies total,1
Malt O Meal ,Post,Food Products,0,0,193:1,0,no contributions/ no data,,,,unavailable,Post: 44.7 severe,468 out of 596 (food products),13982 out of 14979 companies total,0
Aldi ,Albrecht Discounts,Food Products,0,0,unavailable,0,Little data- leans republican,leaning republican,unknown,unknown,unavailable,n/a,,,0
Cub foods,SuperValu,Food Products,0,0,unavailable,0,Contributions: $17428 (mixed leaning democratic),mixed leaning democrat,0,none,40,United Natural Foods: 16.7 low,15 out of 202 (food retailers),1858 out of 14979 companies total,0
Almond Joy,Hershey,Food Products,0,0,630:1,0,Contributions: $109254 (mixed leaning republican)-  Lobbying: $695000 - most lobbied bill: H.Res.904: Second Coronavirus Preparedness and Response Supplemental Appropriations Act of 2020,mixed leaning republican,695000,H.Res.904: Second Coronavirus Preparedness and Response Supplemental Appropriations Act 2020,unavailable,Hershey: 25.7 medium,75 out of 596 (food products),6453 out of 14979 companies total,0
Doritos ,Pepsi,Food Products,0,0,462:1,0,Contributions: $87809 (mixed) - Lobbying: $3690000 - Most lobbied Bill H.R.1406: APEX Act,mixed,3690000,H.R.1406: APEX Act,unavailable,Pepsico: 16 low,5 out of 596 (food products),1590 out of 14979 companies total,0
Nature Valley ,General Mills,Food Products,0,0,205:1,0,Contributions: $456520 (mixed) - Lobbying: $620000 - Most Lobbied bill: H.R.5: Equality Act,mixed,620000,H.R.5: Equality Act,100,General Mills: 21.7 medium,34 out of 596 (food products),4155 out of 14979 companies total,0
Snyder's of Hanover ,Snyder's-Lance,Food Products,0,0,unavailable,0,Contributions: $8962 (mixed leaning republican),mixed leaning republican,0,none,unavailable,Campbell Soup: 22.4 medium,40 out of 596 (food products),4597 out of 14979 companies total,0
JIF (peanut butter) ,The J.M. Smucker Company,Food Products,0,0,136:1,0,Contributions: $507047 (mostly republican) - Lobbying: $330000- Most lobbied bill: H.R.6800: Worker Health Coverage Protection Act,mostly republican,330000,H.R.6800: Worker Health Coverage Protection Act,100,J.M. Smucker: 31 high,175 out of 596 (food products),9417 out of 14979 companies total,0
Silk (soymilk),Danone,Food Products,0,0,unavailable,0,Contributions: $5975 (mostly democratic) - Lobbying: $770000 - Most lobbied bill: H.R.3055: United States Victims of State Sponsored Terrorism Fund Clarification Act,mostly democrat,770000,H.R.3055: United States Victims of State Sponsored Terrorism Fund Clarification Act,unavailable,owned by Danone North America (a B-corp) but Danone S.A. the broader company based in France is the one rated: 19.9 low,21 out of 596 (food products),3262 out of 14979 companies total,0
Timex,,Technology hardwear,0,0,unavailable,0,Contributions: $1017 (mixed- leaning democratic),mixed leaning democrat,0,none,unavailable,n/a,,,0
Beats,Apple,Technology hardwear,0,0,256:1,0,Contributions: $8726449 (mixed) - Lobbying: $6650000  - Most lobbied bill: S.3398: Eliminating Abusive and Rampant Neglect of Interactive Technologies Act of 2020,mixed,6650000,S.3398: Eliminating Abusive and Rampant Neglect of Interactive Technologies Act of 2020,unavailable,Apple: 16.2 low,167 out of 600 (technology hardware),1677 out of 14979 companies total,0
Sony,,Technology hardwear,0,0,unavailable,1,Contributions: $2025009 (mixed leading democratic) - Lobbying: $2386078 - Most lobbied bill: H.R.6800: Worker Health Coverage Protection Act,mixed leaning democrat,2386078,H.R.6800: Worker Health Coverage Protection Act,100,13.9 low,23 out of 222 (consumer durables),937 out of 14979 companies total,1
Apple,,Technology hardwear,0,0,256:1,0,Contributions: $8726449 (mixed) - Lobbying: $6650000  - Most lobbied bill: S.3398: Eliminating Abusive and Rampant Neglect of Interactive Technologies Act of 2020,mixed,6650000,S.3398: Eliminating Abusive and Rampant Neglect of Interactive Technologies Act of 2020,100,16.2 low,167 out of 600 (technology hardware),1677 out of 14979 companies total,0
Neutrogena ,johnson & Johnson,Pharmaceuticals ,0,0,365:1,0,Contributions: $2138687 (mixed) - Lobbying: $5570000 - most lobbied bill: H.R.748: Relief for Workers Affected by Coronavirus Act,mixed,5570000,H.R.748: Relief for Workers Affected by Coronavirus Act,unavailable,27.1 medium,137 out of 1027 (pharmaceuticals),7215 out of 14979 companies total,0
Revlon,MacAndrews & Forbes,Pharmaceuticals ,0,0,unavailable,0,Contributions: $1000014 (mixed) - Lobbying ($1270000)- Most lobbied Bill: H.R.2968: Department of Defense Appropriations Act 2020,mixed,1270000,H.R.2968: Department of Defense Appropriations Act 2020,unavailable,n/a,,,0
Burt's Bees ,clorox,Pharmaceuticals ,0,0,165:1,0,Contributions: $473252 (mixed),mixed,0,none,100,Clorox: 22 medium,11 out of 104 (household products),4338 out of 14979 companies total,0
Downy ,Procter & Gamble,Household products,0,0,333:1,0,Contributions: $1186012 (Mixed leaning republican) - Lobbying: $3284028 - most lobbied Bill : H.R.269: Over-the-Counter Monograph User Fee Act of 2019,mixed leaning republican,3284028,H.R.269: Over-the-Counter Monograph User Fee Act of 2019,100,Procter & Gamble: 27 medium,35 out of 104 (household products),7142 out of 14979 companies total,0
Tide ,Procter & Gamble,Household products,0,0,333:1,0,Contributions: $1186012 (Mixed leaning republican) - Lobbying: $3284028 - most lobbied Bill : H.R.269: Over-the-Counter Monograph User Fee Act of 2019,mixed leaning republican,3284028,H.R.269: Over-the-Counter Monograph User Fee Act of 2020,100,Procter & Gamble: 27 medium,35 out of 104 (household products),7142 out of 14979 companies total,0
Société Bic S.A.,,Household products,0,0,unavailable,0,no contributions/No data ,,,,unavailable,Societe BIC SA: 24.2 medium,20 out of 104 (household products),5555 out of 14979 companies total,0
Mead ,westrock,containers and packaging,0,0,190:1,0,Contributions: $1476853 (mostly republican) - Lobbying: $225304 - most lobbied bill: S.1396: Protect America's Paper for Recycling Act,mostly republican,225304,S.1396: Protect America's Paper for Recycling Act,unavailable,WestRock: 18 low,46 out of 98 (containers and packaging),2434 out of 14979 companies total,0